year_month,mean,median_price,high_price,low_price,Index,Change,prev_close,rolling_mean
2017-07-01,435505.6828780813,405000.0,468000.0,360000.0,132.6709005,-0.70%,437961.7127272727,407666.6666666667
2017-08-01,435505.6828780813,405000.0,468000.0,360000.0,132.6709005,-0.70%,435505.6828780813,406000.0
2017-09-01,441433.516372796,414000.0,479500.0,360000.0,132.6709005,-0.70%,435505.6828780813,408000.0
2017-10-01,438559.5796906523,405000.0,470000.0,358000.0,132.4055587,-0.20%,441433.516372796,408000.0
2017-11-01,438559.5796906523,405000.0,470000.0,358000.0,132.4055587,-0.20%,438559.5796906523,408000.0
2017-12-01,436362.03393939394,407000.0,471000.0,352000.0,132.4055587,-0.20%,438559.5796906523,405666.6666666667
2018-01-01,433238.34859813086,408000.0,470000.0,350000.0,131.3463142,-0.80%,436362.03393939394,406666.6666666667
2018-02-01,433238.34859813086,408000.0,470000.0,350000.0,131.3463142,-0.80%,433238.34859813086,407666.6666666667
2018-03-01,429115.25506072876,400000.0,470000.0,348000.0,131.3463142,-0.80%,433238.34859813086,405333.3333333333
2018-04-01,442004.1035404142,408000.0,480000.0,350000.0,131.4776605,0.10%,429115.25506072876,405333.3333333333
2018-05-01,442004.1035404142,408000.0,480000.0,350000.0,131.4776605,0.10%,442004.1035404142,405333.3333333333
2018-06-01,432613.43021582736,400000.0,465500.0,351000.0,131.4776605,0.10%,442004.1035404142,405333.3333333333
2018-07-01,434255.71068830445,405000.0,469444.0,350000.0,131.3461829,-0.10%,432613.43021582736,404333.3333333333
2018-08-01,434255.71068830445,405000.0,469444.0,350000.0,131.3461829,-0.10%,434255.71068830445,403333.3333333333
2018-09-01,429949.86771428573,400000.0,468000.0,350000.0,131.3461829,-0.10%,434255.71068830445,403333.3333333333
2018-10-01,426423.45536019537,400000.0,460000.0,342625.0,131.0834905,-0.20%,429949.86771428573,401666.6666666667
2018-11-01,426423.45536019537,400000.0,460000.0,342625.0,131.0834905,-0.20%,426423.45536019537,400000.0
2018-12-01,425143.15113350126,395000.0,454500.0,342250.0,131.0834905,-0.20%,426423.45536019537,398333.3333333333
2019-01-01,425339.4290296712,395000.0,460000.0,340000.0,130.69024,-0.30%,425143.15113350126,396666.6666666667
2019-02-01,425339.4290296712,395000.0,460000.0,340000.0,130.69024,-0.30%,425339.4290296712,395000.0
2019-03-01,422785.1270718232,393888.0,453000.0,341000.0,130.69024,-0.30%,425339.4290296712,394629.3333333333
2019-04-01,428637.29431000655,400000.0,465000.0,347000.0,130.4288596,-0.20%,422785.1270718232,396296.0
2019-05-01,428637.29431000655,400000.0,465000.0,347000.0,130.4288596,-0.20%,428637.29431000655,397962.6666666667
2019-06-01,428633.5317919075,395000.0,460000.0,350000.0,130.4288596,-0.20%,428637.29431000655,398333.3333333333
2019-07-01,429485.7193410616,400000.0,465000.0,350000.0,130.5592884,0.10%,428633.5317919075,398333.3333333333
2019-08-01,429485.7193410616,400000.0,465000.0,350000.0,130.5592884,0.10%,429485.7193410616,398333.3333333333
2019-09-01,428830.7647761194,400000.0,458222.0,351547.0,130.5592884,0.10%,429485.7193410616,400000.0
2019-10-01,430951.42618900555,400000.0,468000.0,350000.0,131.2120849,0.50%,428830.7647761194,400000.0
2019-11-01,430951.42618900555,400000.0,468000.0,350000.0,131.2120849,0.50%,430951.42618900555,400000.0
2019-12-01,434781.61547911545,405000.0,479722.0,351250.0,131.2120849,0.50%,430951.42618900555,401666.6666666667
2020-01-01,429071.5670232851,400000.0,470000.0,350000.0,131.2120849,0.00%,434781.61547911545,401666.6666666667
2020-02-01,429071.5670232851,400000.0,470000.0,350000.0,131.2120849,0.00%,429071.5670232851,401666.6666666667
2020-03-01,434621.3695652174,400000.0,470000.0,355000.0,131.2120849,0.00%,429071.5670232851,400000.0
2020-04-01,432926.0879676441,410000.0,475000.0,355000.0,131.6057211,0.30%,434621.3695652174,403333.3333333333
2020-05-01,432926.0879676441,410000.0,475000.0,355000.0,131.6057211,0.30%,432926.0879676441,406666.6666666667
2020-06-01,440978.6046511628,422000.0,472000.0,370000.0,131.6057211,0.30%,432926.0879676441,414000.0
2020-07-01,438876.0045144891,410000.0,475000.0,360000.0,133.5798069,1.50%,440978.6046511628,414000.0
2020-08-01,438876.0045144891,410000.0,475000.0,360000.0,133.5798069,1.50%,438876.0045144891,414000.0
2020-09-01,443731.2308829569,418000.0,480000.0,368000.0,133.5798069,1.50%,438876.0045144891,412666.6666666667
2020-10-01,462351.2327837051,430000.0,495000.0,375000.0,137.720781,3.10%,443731.2308829569,419333.3333333333
